date,tp
07/07/2020,0.012698486
08/07/2020,0.000978841
09/07/2020,0.03366464
10/07/2020,0.014037509
11/07/2020,0.002651746
12/07/2020,0.005182963
13/07/2020,0.009034721
14/07/2020,0.031954795
15/07/2020,0.10731286
16/07/2020,0.004916717
17/07/2020,0.002099416
18/07/2020,0.005294228
19/07/2020,0.040878206
20/07/2020,0.03183951
21/07/2020,0.053981956
22/07/2020,0.001894106
23/07/2020,0.014615025
24/07/2020,9.01E-05
25/07/2020,5.30E-06
26/07/2020,0
27/07/2020,0.000460941
28/07/2020,0.000198683
29/07/2020,0.000143052
30/07/2020,0
31/07/2020,0.000547034
01/08/2020,0.00061061
02/08/2020,5.30E-05
03/08/2020,0.013585874
04/08/2020,0.007379062
05/08/2020,0.031131003
06/08/2020,0.018601913
07/08/2020,0.02386047
08/08/2020,0.004328616
09/08/2020,0.001568265
10/08/2020,0.012061306
11/08/2020,0.48961246
12/08/2020,0.02143117
13/08/2020,0.04805346
14/08/2020,0.06114109
15/08/2020,0.042307384
16/08/2020,0.027204975
17/08/2020,8.48E-05
18/08/2020,0.012482576
19/08/2020,0.007755247
20/08/2020,0.009809567
21/08/2020,2.38E-05
22/08/2020,0
23/08/2020,0.001454352
24/08/2020,0.000589425
25/08/2020,0.004152498
26/08/2020,0
27/08/2020,0.000407962
28/08/2020,0.000654323
29/08/2020,0.007767179
30/08/2020,0
31/08/2020,0
01/09/2020,0.00201993
02/09/2020,0.015928991
03/09/2020,0.005846572
04/09/2020,0.012009757
05/09/2020,0.004985599
06/09/2020,0.000292724
07/09/2020,0.0049909
08/09/2020,0.00144906
09/09/2020,0.000100665
10/09/2020,0.002365637
11/09/2020,0.00810888
12/09/2020,0.01409586
13/09/2020,0.019090567
14/09/2020,0.005733959
15/09/2020,0.02324843
16/09/2020,0.021607235
17/09/2020,0.000532471
18/09/2020,0.000136428
19/09/2020,1.32E-05
20/09/2020,0.011070664
21/09/2020,0.022415329
22/09/2020,0.1310539
23/09/2020,0.011964633
24/09/2020,0.001846422
25/09/2020,0.014991205
26/09/2020,0.022677591
27/09/2020,0.08760558
28/09/2020,0.004144536
29/09/2020,0.018874696
30/09/2020,0.001903375
01/10/2020,0.000596047
02/10/2020,0.008665183
03/10/2020,0.00753936
04/10/2020,0.029109845
05/10/2020,0.05992283
06/10/2020,0.0492982
07/10/2020,0.02768965
08/10/2020,0.013042821
09/10/2020,0.15451825
10/10/2020,0.21136509
11/10/2020,0.006657186
12/10/2020,0.018090626
13/10/2020,0.003406734
14/10/2020,0.001068915
15/10/2020,0.009098332
16/10/2020,0.03873881
17/10/2020,0.013134187
18/10/2020,0.24328317
19/10/2020,1.2238486
20/10/2020,0.62347436
21/10/2020,0.39446855
22/10/2020,0.02851614
23/10/2020,0.07202607
24/10/2020,0.10302872
25/10/2020,0.09354719
26/10/2020,0.21936741
27/10/2020,0.35010663
28/10/2020,0.021990191
29/10/2020,0.10578328
30/10/2020,0.24523875
31/10/2020,1.2819892
01/11/2020,0.6775746
02/11/2020,0.63118345
03/11/2020,0.13643079
04/11/2020,0.022611277
05/11/2020,0.05653142
06/11/2020,0.04407678
07/11/2020,0.050469425
08/11/2020,0.049022973
09/11/2020,0.03822922
10/11/2020,0.022572925
11/11/2020,0.097980864
12/11/2020,0.05550398
13/11/2020,0.049729917
14/11/2020,0.07695094
15/11/2020,0.3458718
16/11/2020,0.055171743
17/11/2020,0.032411627
18/11/2020,0.010208348
19/11/2020,0.2201423
20/11/2020,0.3217897
21/11/2020,0.20647317
22/11/2020,0.32689995
23/11/2020,0.48073423
24/11/2020,0.33981445
25/11/2020,0.33805418
26/11/2020,0.5421489
27/11/2020,0.48366702
28/11/2020,0.3847767
29/11/2020,1.4422132
30/11/2020,0.52030987
01/12/2020,0.06300459
02/12/2020,0.59362906
03/12/2020,0.26699767
04/12/2020,0.6579094
05/12/2020,1.4431096
06/12/2020,1.0848302
07/12/2020,1.0341158
08/12/2020,0.43248314
09/12/2020,0.6978057
10/12/2020,0.50891405
11/12/2020,0.43814754
12/12/2020,0.74957544
13/12/2020,0.7440056
14/12/2020,0.3609583
15/12/2020,0.36928734
16/12/2020,0.44916576
17/12/2020,0.9781526
18/12/2020,0.5912598
19/12/2020,0.4579083
20/12/2020,0.058370523
21/12/2020,0.016384669
22/12/2020,0.05541602
23/12/2020,0.10190528
24/12/2020,0.16751683
25/12/2020,0.20458826
26/12/2020,0.36203188
27/12/2020,0.85111725
28/12/2020,0.6314528
29/12/2020,0.7776139
30/12/2020,1.3684313
31/12/2020,0.1901461
01/01/2021,0.41061422
02/01/2021,0.30670974
03/01/2021,0.5033761
04/01/2021,0.24927817
05/01/2021,0.72266304
06/01/2021,0.6445586
07/01/2021,0.6218777
08/01/2021,0.44898218
09/01/2021,0.3469571
10/01/2021,0.51314956
11/01/2021,0.6918931
12/01/2021,0.23400667
13/01/2021,0.95702815
14/01/2021,0.11442806
15/01/2021,0.4088521
16/01/2021,0.51414865
17/01/2021,1.1825367
18/01/2021,1.4050645
19/01/2021,0.40606573
20/01/2021,0.41657674
21/01/2021,0.275306
22/01/2021,0.6753493
23/01/2021,0.24619286
24/01/2021,0.6850804
25/01/2021,0.23043023
26/01/2021,0.3151207
27/01/2021,0.90927327
28/01/2021,1.3273294
29/01/2021,0.8662747
30/01/2021,0.34079364
31/01/2021,0.5287986
01/02/2021,0.2974244
02/02/2021,0.6029879
03/02/2021,0.92920506
04/02/2021,0.7507204
05/02/2021,0.57743704
06/02/2021,0.26019886
07/02/2021,0.12909186
08/02/2021,0.44520342
09/02/2021,0.19895943
10/02/2021,0.7848863
11/02/2021,0.3360613
12/02/2021,0.35997373
13/02/2021,0.13588934
14/02/2021,0.29072952
15/02/2021,0.3919257
16/02/2021,0.35117692
17/02/2021,0.54054046
18/02/2021,0.62348306
19/02/2021,0.545799
20/02/2021,0.3763173
21/02/2021,0.31768674
22/02/2021,0.12121855
23/02/2021,1.6684583
24/02/2021,1.4954599
25/02/2021,0.35113317
26/02/2021,0.2748811
27/02/2021,0.34041455
28/02/2021,0.028551873
01/03/2021,0.36976802
02/03/2021,0.3803417
03/03/2021,0.39284793
04/03/2021,0.51169896
05/03/2021,0.32495707
06/03/2021,0.32362077
07/03/2021,0.86687386
08/03/2021,0.52720606
09/03/2021,0.70820004
10/03/2021,0.509773
11/03/2021,0.33277676
12/03/2021,0.30982777
13/03/2021,0.321847
14/03/2021,0.40809178
15/03/2021,0.11405669
16/03/2021,0.17863439
17/03/2021,0.1133891
18/03/2021,0.1268134
19/03/2021,0.17331083
20/03/2021,0.11495373
21/03/2021,0.2169815
22/03/2021,0.4115497
23/03/2021,0.39586923
24/03/2021,0.30536118
25/03/2021,0.42130744
26/03/2021,0.31536666
27/03/2021,0.42179263
28/03/2021,0.17928785
29/03/2021,0.53145826
30/03/2021,0.5914647
31/03/2021,0.5180881
01/04/2021,0.62195
02/04/2021,0.021251088
03/04/2021,0.09424987
04/04/2021,0.35381392
05/04/2021,0.22809683
06/04/2021,0.4900111
07/04/2021,0.680625
08/04/2021,0.5875896
09/04/2021,0.055919748
10/04/2021,0.21073586
11/04/2021,0.20829964
12/04/2021,0.39649677
13/04/2021,0.25450197
14/04/2021,0.16234402
15/04/2021,0.071756214
16/04/2021,0.051062647
17/04/2021,0.03475214
18/04/2021,0.085694104
19/04/2021,0.03647017
20/04/2021,0.012857433
21/04/2021,0.011208322
