date,mean_surface_pressure_hPa
15/12/2021,1005.6239
16/12/2021,1005.75903
17/12/2021,1005.55945
18/12/2021,1006.0947
19/12/2021,1007.26086
20/12/2021,1008.8419
21/12/2021,1009.0077
22/12/2021,1007.34503
23/12/2021,1006.86426
24/12/2021,1006.13214
25/12/2021,1007.1137
26/12/2021,1007.39496
27/12/2021,1007.939
28/12/2021,1007.18054
29/12/2021,1007.0795
30/12/2021,1007.2501
31/12/2021,1007.1049
01/01/2022,1007.0886
02/01/2022,1006.65247
03/01/2022,1006.649
04/01/2022,1007.4181
05/01/2022,1007.5841
06/01/2022,1008.1412
07/01/2022,1007.9802
08/01/2022,1007.35034
09/01/2022,1006.3012
10/01/2022,1006.6885
11/01/2022,1007.9778
12/01/2022,1008.40125
13/01/2022,1007.6465
14/01/2022,1006.8101
15/01/2022,1006.9485
16/01/2022,1007.1879
17/01/2022,1006.3151
18/01/2022,1006.072
19/01/2022,1005.6719
20/01/2022,1006.58997
21/01/2022,1006.43774
22/01/2022,1005.90894
23/01/2022,1004.85547
24/01/2022,1003.77277
25/01/2022,1004.33746
26/01/2022,1005.1532
27/01/2022,1005.9887
28/01/2022,1007.1311
29/01/2022,1006.7892
30/01/2022,1006.4067
31/01/2022,1006.0145
01/02/2022,1006.3648
02/02/2022,1007.15234
03/02/2022,1006.10425
04/02/2022,1005.0954
05/02/2022,1004.89996
06/02/2022,1005.76117
07/02/2022,1006.768
08/02/2022,1006.7669
09/02/2022,1005.923
10/02/2022,1005.10126
11/02/2022,1005.16656
12/02/2022,1004.6282
13/02/2022,1004.8225
14/02/2022,1005.8792
15/02/2022,1005.4251
16/02/2022,1004.2473
17/02/2022,1005.17883
18/02/2022,1006.8601
19/02/2022,1006.65875
20/02/2022,1006.34906
21/02/2022,1006.3269
22/02/2022,1006.809
23/02/2022,1007.48145
24/02/2022,1007.36163
25/02/2022,1007.2242
26/02/2022,1007.2489
27/02/2022,1006.60895
28/02/2022,1006.10895
01/03/2022,1005.8152
02/03/2022,1005.11743
03/03/2022,1005.7687
04/03/2022,1006.16473
05/03/2022,1005.9936
06/03/2022,1005.4771
07/03/2022,1005.7348
08/03/2022,1005.3509
09/03/2022,1005.08813
10/03/2022,1004.3175
11/03/2022,1003.8712
12/03/2022,1004.1787
13/03/2022,1005.23157
14/03/2022,1004.84235
15/03/2022,1004.4008
16/03/2022,1004.90753
17/03/2022,1004.17926
18/03/2022,1004.0173
19/03/2022,1004.15906
20/03/2022,1005.7722
21/03/2022,1006.77985
22/03/2022,1007.2062
23/03/2022,1007.1431
24/03/2022,1006.67633
25/03/2022,1007.7487
26/03/2022,1007.8238
27/03/2022,1007.39136
28/03/2022,1006.7907
29/03/2022,1006.81976
30/03/2022,1006.9158
31/03/2022,1006.982
01/04/2022,1007.5615
02/04/2022,1007.2854
03/04/2022,1007.41516
04/04/2022,1008.0407
05/04/2022,1007.9658
06/04/2022,1007.2829
07/04/2022,1006.662
08/04/2022,1006.3598
09/04/2022,1006.3698
10/04/2022,1007.1096
11/04/2022,1006.33624
12/04/2022,1005.66016
13/04/2022,1005.6759
14/04/2022,1005.7656
15/04/2022,1005.97144
16/04/2022,1005.62164
17/04/2022,1005.38336
18/04/2022,1006.09595
19/04/2022,1006.94226
20/04/2022,1006.63837
21/04/2022,1006.97534
22/04/2022,1006.7626
23/04/2022,1005.8591
24/04/2022,1005.42944
25/04/2022,1004.7298
26/04/2022,1005.0357
27/04/2022,1005.2692
28/04/2022,1005.6966
29/04/2022,1005.672
30/04/2022,1006.00946
01/05/2022,1005.6303
02/05/2022,1005.5882
03/05/2022,1005.9516
04/05/2022,1006.3469
05/05/2022,1005.3213
06/05/2022,1004.8217
07/05/2022,1004.80493
08/05/2022,1005.4619
09/05/2022,1005.7489
10/05/2022,1005.5408
11/05/2022,1005.4159
12/05/2022,1006.0759
13/05/2022,1006.8489
14/05/2022,1008.09796
15/05/2022,1007.38464
16/05/2022,1007.14496
17/05/2022,1008.02203
18/05/2022,1008.5473
19/05/2022,1008.3436
20/05/2022,1007.80286
